,종목코드,기업명,상장일
358,118000,우리들휴브레인,2009-12-30
359,010050,우리종금,1974-09-11
360,006980,우성사료,1988-10-10
361,017370,우신시스템,2002-05-28
362,105840,우진,2010-07-26
363,049800,우진플라임,2006-05-24
364,016880,웅진,1994-11-05
365,095720,웅진씽크빅,2007-05-31
366,021240,웅진코웨이,2001-08-07
367,005820,원림,1990-04-20
368,010600,웰바이오텍,1997-07-18
369,008600,윌비스,1989-07-28
370,033270,유나이티드,2007-10-23
371,014830,유니드,2004-12-03
372,000910,유니온,1996-07-03
373,047400,유니온머티리얼,2009-09-29
374,077500,유니퀘스트,2004-08-05
375,002920,유성기업,1988-10-10
376,000700,유수홀딩스,1956-03-03
377,003470,유안타증권,1988-01-21
378,011690,유양디앤유,1995-12-21
379,072130,유엔젤,2003-07-01
380,000220,유유제약,1975-11-18
381,001200,유진증권,1987-08-24
382,000100,유한양행,1962-11-01
383,003460,유화증권,1987-08-24
384,008730,율촌화학,1988-08-30
385,008250,이건산업,1988-10-21
386,025820,이구산업,1995-08-18
387,214320,이노션,2015-07-17
388,139480,이마트,2011-06-10
389,007660,이수페타시스,2003-10-07
390,005950,이수화학,1988-04-28
391,015020,이스타코,1988-12-23
392,093230,이아이디,2007-11-01
393,102460,이연제약,2010-06-10
394,084680,이월드,2005-07-26
395,000760,이화산업,1994-04-29
396,014990,인디에프,1989-06-20
397,006490,인스코비,1985-01-17
398,023800,인지컨트롤스,1997-06-23
399,034590,인천도시가스,2006-11-07
400,129260,인터지스,2011-12-16
401,023810,인팩,2004-09-21
402,003120,일성신약,1985-01-14
403,003200,일신방직,1973-05-23
404,007110,일신석재,1986-03-04
405,007570,일양약품,1974-08-28
406,008500,일정실업,1994-08-12
407,081000,일진다이아,2004-12-22
408,020760,일진디스플,2002-01-09
409,020150,일진머티리얼즈,2011-03-04
410,103590,일진전기,2008-08-01
411,015860,일진홀딩스,1990-03-22
412,226320,잇츠한불,2015-12-28
413,033240,자화전자,1999-01-06
414,000950,전방,1968-10-21
415,030000,제일기획,1998-03-03
416,001560,제일연마,2005-12-09
417,006220,제주은행,1972-12-28
418,089590,제주항공,2015-11-06
419,004910,조광페인트,1976-12-27
420,004700,조광피혁,1977-05-27
421,001550,조비,1976-12-28
422,000480,조선내화,1978-06-30
423,120030,조선선재,2010-02-19
424,018470,조일알미늄,1988-11-22
425,185750,종근당,2013-12-06
426,063160,종근당바이오,2001-12-11
427,001630,종근당홀딩스,1976-06-30
428,044380,주연테크,2006-11-15
429,013870,지엠비코리아,2012-11-20
430,071320,지역난방공사,2010-01-29
431,035000,지투알,1999-08-11
432,088790,진도,2006-03-28
433,003780,진양산업,1973-06-26
434,100250,진양홀딩스,2008-02-15
435,051630,진양화학,2001-01-29
436,011000,진원생명과학,1987-11-16
437,000650,천일고속,1977-06-23
438,012600,청호컴넷,1990-07-10
439,006380,카프로,1974-05-28
440,001620,케이비아이동국실업,1990-09-15
441,002380,케이씨씨,1973-06-25
442,009070,케이씨티시,1978-09-29
443,145270,케이탑리츠,2012-01-31
444,030200,케이티,1998-12-23
445,053210,케이티스카이라이프,2011-06-03
446,033780,케이티앤지,1999-10-08
447,007810,코리아써키트,1985-09-09
448,152330,코리아오토글라스,2015-12-29
449,003690,코리안리,1969-12-22
450,192820,코스맥스,2014-04-07
451,044820,코스맥스비티아이,2006-11-13
452,005420,코스모화학,1987-07-23
453,002020,코오롱,1975-06-23
454,003070,코오롱글로벌,1978-09-15
455,120110,코오롱인더,2010-02-01
456,138490,코오롱플라스틱,2011-06-15
457,031820,콤텍시스템,1997-02-12
458,015590,큐로,1989-05-27
459,020120,키다리스튜디오,1996-07-03
460,039490,키움증권,2009-08-03
461,012170,키위미디어그룹,1989-12-20
462,015890,태경산업,1996-01-30
463,006890,태경화학,2003-01-28
464,003240,태광산업,1975-12-27
465,011280,태림포장,1988-12-20
466,004100,태양금속공업,1976-05-25
467,009410,태영건설,1989-11-13
468,001420,태원물산,1975-06-24
469,007980,태평양물산,1994-12-27
470,078000,텔코웨어,2004-07-20
471,214420,토니모리,2015-07-10
472,084870,티비에이치글로벌,2005-12-19
473,019180,티에이치엔,1996-07-31
474,004870,티웨이홀딩스,1977-06-30
475,005690,파미셀,1988-05-20
476,036580,팜스코,1999-10-25
477,028670,팬오션,2007-09-21
478,010820,퍼스텍,1989-05-10
479,016800,퍼시스,1996-12-24
480,090080,평화산업,2006-06-02
481,010770,평화홀딩스,1986-03-31
482,005490,포스코,1988-06-10
483,058430,포스코강판,2002-08-16
484,047050,포스코인터내셔널,2001-03-23
485,103140,풍산,2008-07-30
486,005810,풍산홀딩스,1988-07-28
487,033180,필룩스,2001-12-26
488,086790,하나금융지주,2005-12-12
489,039130,하나투어,2011-11-01
490,071090,하이스틸,2003-02-17
491,019490,하이트론씨스템즈,1998-11-04
492,000080,하이트진로,2009-10-19
493,000140,하이트진로홀딩스,1973-09-19
494,152550,한국ANKOR유전,2012-03-08
495,036460,한국가스공사,1999-12-15
496,005430,한국공항,1976-12-28
497,071050,한국금융지주,2003-07-21
498,010040,한국내화,2000-10-16
499,025540,한국단자공업,1996-10-16
500,004090,한국석유공업,1977-06-25
501,002200,한국수출포장공업,1974-06-28
502,002960,한국쉘석유,1988-08-10
503,015760,한국전력공사,1989-08-10
504,006200,한국전자홀딩스,1979-11-30
505,002300,한국제지,1971-06-23
506,023350,한국종합기술,2011-04-28
507,025890,한국주강,1997-07-18
508,000970,한국주철관공업,1969-12-12
509,017960,한국카본,1995-07-08
510,161890,한국콜마,2012-10-19
511,024720,한국콜마홀딩스,2002-04-09
512,161390,한국타이어앤테크놀로지,2012-10-04
513,000240,한국테크놀로지그룹,1968-12-27
514,168490,한국패러랠,2013-04-19
515,123690,한국화장품,2010-06-01
516,003350,한국화장품제조,1978-02-06
517,011500,한농화성,2003-01-09
518,002390,한독,1976-06-30
519,014790,한라,1994-08-12
520,060980,한라홀딩스,2010-05-19
521,053690,한미글로벌,2009-06-23
522,008930,한미사이언스,1988-06-20
523,128940,한미약품,2010-07-30
524,009240,한샘,2002-07-16
525,020000,한섬,1996-07-03
526,003680,한성기업,1989-01-26
527,105630,한세실업,2009-03-20
528,069640,한세엠케이,2011-06-21
529,016450,한세예스24홀딩스,2000-01-06
530,009180,한솔로지스틱스,1989-11-13
531,213500,한솔제지,2015-01-26
532,014680,한솔케미칼,1989-05-20
533,004710,한솔테크닉스,1988-07-06
534,004150,한솔홀딩스,1972-05-17
535,025750,한솔홈데코,2003-11-04
536,004960,한신공영,1976-07-07
537,011700,한신기계공업,1987-07-24
538,001750,한양증권,1988-03-04
539,009420,한올바이오파마,1989-12-18
540,051600,한전KPS,2007-12-14
541,052690,한전기술,2009-12-14
542,130660,한전산업,2010-12-16
543,002320,한진,1974-08-12
544,003480,한진중공업홀딩스,1956-03-03
545,180640,한진칼,2013-09-16
546,005110,한창,1976-06-01
547,009460,한창제지,1987-12-23
548,000880,한화,1976-06-24
549,027390,한화갤러리아타임월드,1996-01-30
550,088350,한화생명,2010-03-17
551,000370,한화손해보험,1975-06-30
552,012450,한화에어로스페이스,1987-05-27
553,009830,한화케미칼,1974-06-19
554,003530,한화투자증권,1986-11-25
555,000720,현대건설,1984-12-22
556,005440,현대그린푸드,1989-08-22
557,086280,현대글로비스,2005-12-26
558,064350,현대로템,2013-10-30
559,079430,현대리바트,2005-11-22
560,012330,현대모비스,1989-09-05
561,010620,현대미포조선,1983-12-20
562,069960,현대백화점,2002-11-25
563,004560,현대비앤지스틸,1987-03-24
564,004310,현대약품,1978-06-28
565,126560,현대에이치씨엔,2010-12-23
566,017800,현대엘리베이터,1996-07-03
567,011210,현대위아,2011-02-21
568,005380,현대자동차,1974-06-28
569,004020,현대제철,1987-05-23
570,011760,현대종합상사,1977-12-01
571,001500,현대차증권,1990-06-09
572,227840,현대코퍼레이션홀딩스,2015-10-23
573,001450,현대해상,1989-08-25
574,057050,현대홈쇼핑,2010-09-13
575,003010,혜인,1988-09-20
576,008770,호텔신라,1991-03-12
577,002460,화성산업,1988-09-29
578,006060,화승인더스트리,1991-02-04
579,010690,화신,1994-01-14
